feature,coefficient,absolute_coefficient
numeric__OverTime_Flag,0.7001959111521195,0.7001959111521195
category__StockOptionLevel_0,0.6375218409468427,0.6375218409468427
category__EnvironmentSatisfaction_1,0.6240050370419895,0.6240050370419895
category__JobLevel_2,-0.5893554182002395,0.5893554182002395
category__JobInvolvement_1,0.5694894222630766,0.5694894222630766
category__BusinessTravel_Travel_Frequently,0.5297627685462948,0.5297627685462948
numeric__TotalWorkingYears,-0.48363659773219864,0.48363659773219864
category__JobRole_Laboratory Technician,0.47128743939055345,0.47128743939055345
category__JobRole_Research Scientist,-0.42381094634412936,0.42381094634412936
category__WorkLifeBalance_1,0.42256267540348497,0.42256267540348497
category__BusinessTravel_Non-Travel,-0.4224164178669934,0.4224164178669934
category__RelationshipSatisfaction_1,0.41993481564307494,0.41993481564307494
category__JobSatisfaction_4,-0.4107245849702295,0.4107245849702295
category__WorkLifeBalance_3,-0.40475115019875113,0.40475115019875113
category__StockOptionLevel_1,-0.36454491173867964,0.36454491173867964
category__JobLevel_1,0.34650886932264613,0.34650886932264613
numeric__YearsSinceLastPromotion,0.34195231191271047,0.34195231191271047
category__Department_Sales,0.34174789730158994,0.34174789730158994
numeric__NumCompaniesWorked,0.3265054625188074,0.3265054625188074
category__Department_Research & Development,-0.3228536672067567,0.3228536672067567
category__JobSatisfaction_1,0.32051797525820414,0.32051797525820414
category__JobInvolvement_4,-0.31398985347805364,0.31398985347805364
numeric__DistanceFromHome,0.3131777487127043,0.3131777487127043
category__EnvironmentSatisfaction_4,-0.2981001878946843,0.2981001878946843
numeric__YearsWithCurrManager,-0.26695865476248687,0.26695865476248687
category__StockOptionLevel_2,-0.2586866340122153,0.2586866340122153
category__JobRole_Research Director,-0.2507526930366506,0.2507526930366506
category__JobInvolvement_3,-0.24908039370166457,0.24908039370166457
category__EducationField_Technical Degree,0.24858035301785011,0.24858035301785011
category__JobRole_Sales Representative,0.24697814661707784,0.24697814661707784
numeric__MonthlyIncome,-0.2336169765845108,0.2336169765845108
category__EducationField_Other,-0.23109438665175638,0.23109438665175638
category__RelationshipSatisfaction_4,-0.22381115847818148,0.22381115847818148
numeric__YearsInCurrentRole,-0.2214331749393289,0.2214331749393289
category__JobLevel_3,0.20075542038318003,0.20075542038318003
category__EducationField_Medical,-0.19325646826839696,0.19325646826839696
numeric__DailyRate,-0.18871876087276818,0.18871876087276818
category__Education_3,0.16780521762831088,0.16780521762831088
category__EnvironmentSatisfaction_3,-0.16496316549639753,0.16496316549639753
category__EnvironmentSatisfaction_2,-0.16124348791750817,0.16124348791750817
category__JobLevel_5,0.15480588320929745,0.15480588320929745
category__JobRole_Sales Executive,0.1505856209419129,0.1505856209419129
category__EducationField_Human Resources,0.1471661345046555,0.1471661345046555
category__JobRole_Healthcare Representative,-0.12760084589926182,0.12760084589926182
numeric__TrainingTimesLastYear,-0.11615580760680534,0.11615580760680534
category__JobLevel_4,-0.11301655898148485,0.11301655898148485
category__Education_5,-0.10793355620506921,0.10793355620506921
category__EducationField_Marketing,0.10782682501430148,0.10782682501430148
category__BusinessTravel_Travel_Rarely,-0.10764815494590296,0.10764815494590296
category__RelationshipSatisfaction_2,-0.09970863659632281,0.09970863659632281
category__RelationshipSatisfaction_3,-0.09671682483517084,0.09671682483517084
category__JobRole_Manufacturing Director,-0.07959174872023157,0.07959174872023157
category__EducationField_Life Sciences,-0.07952426188325443,0.07952426188325443
numeric__PercentSalaryHike,-0.07813762399089352,0.07813762399089352
category__JobSatisfaction_2,0.0667011756836741,0.0667011756836741
numeric__YearsAtCompany,0.06073133587808312,0.06073133587808312
category__Education_2,-0.05922849004456462,0.05922849004456462
category__PerformanceRating_3,-0.058773108195029775,0.058773108195029775
category__PerformanceRating_4,0.058471303928428926,0.058471303928428926
numeric__MonthlyRate,0.046539513840870184,0.046539513840870184
numeric__HourlyRate,-0.026419927181495217,0.026419927181495217
category__JobSatisfaction_3,0.023203629761750645,0.023203629761750645
category__Department_Human Resources,-0.019196034361434442,0.019196034361434442
category__StockOptionLevel_3,-0.014592099462548256,0.014592099462548256
category__Education_4,-0.012346652456357297,0.012346652456357297
category__JobRole_Human Resources,0.012229496533927672,0.012229496533927672
category__WorkLifeBalance_2,-0.011433241121763846,0.011433241121763846
category__Education_1,0.011401676811079522,0.011401676811079522
category__JobInvolvement_2,-0.006720979349959108,0.006720979349959108
category__WorkLifeBalance_4,-0.00668008834957086,0.00668008834957086
category__JobRole_Manager,0.0003737262502008729,0.0003737262502008729
