YearsSinceLastPromotion,employees,leavers,attrition_rate,small_sample
0,581,110,0.18932874354561102,False
1,357,49,0.13725490196078433,False
2,159,27,0.16981132075471697,False
3,52,9,0.17307692307692307,False
4,61,5,0.08196721311475409,False
5,45,2,0.044444444444444446,False
6,32,6,0.1875,False
7,76,16,0.21052631578947367,False
8,18,0,0.0,True
9,17,4,0.23529411764705882,True
10,6,1,0.16666666666666666,True
11,24,2,0.08333333333333333,True
12,10,0,0.0,True
13,10,2,0.2,True
14,9,1,0.1111111111111111,True
15,13,3,0.23076923076923078,True
